RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long
25647,43314,STANDARD,CALEDONIA,OH,40.63,-82.96
25648,43335,PO BOX,MARTEL,OH,40.67,-82.9
25649,43725,STANDARD,CAMBRIDGE,OH,40.02,-81.58
25650,43725,STANDARD,CLAYSVILLE,OH,40.02,-81.58
25651,43750,PO BOX,KIPLING,OH,39.99,-81.5
25652,43750,PO BOX,CAMBRIDGE,OH,39.99,-81.5
25653,45311,STANDARD,CAMDEN,OH,39.63,-84.64
25654,45311,STANDARD,MORNING SUN,OH,39.63,-84.64
25655,43110,STANDARD,CANAL WINCHESTER,OH,39.84,-82.82
25656,43110,STANDARD,CANAL WHCHSTR,OH,39.84,-82.82
25657,43110,STANDARD,CANAL WNCHSTR,OH,39.84,-82.82
25658,43110,STANDARD,CNL WNCHSTR,OH,39.84,-82.82
25659,43111,PO BOX,CARBON HILL,OH,39.49,-82.22
25660,43315,STANDARD,CARDINGTON,OH,40.49,-82.89
25661,43316,STANDARD,CAREY,OH,40.95,-83.38
25662,43316,STANDARD,ADRIAN,OH,40.95,-83.38
25663,43112,STANDARD,CARROLL,OH,39.79,-82.7
25664,45312,STANDARD,CASSTOWN,OH,40.05,-84.12
25665,43010,PO BOX,CATAWBA,OH,39.99,-83.62
25666,45314,STANDARD,CEDARVILLE,OH,39.74,-83.81
25667,43011,STANDARD,CENTERBURG,OH,40.3,-82.69
25668,43727,STANDARD,CHANDLERSVILLE,OH,39.86,-81.8
25669,43727,STANDARD,CHANDLERSVLLE,OH,39.86,-81.8
25670,45719,PO BOX,CHAUNCEY,OH,39.39,-82.12
25671,45618,PO BOX,CHERRY FORK,OH,38.88,-83.61
25672,45619,STANDARD,CHESAPEAKE,OH,38.43,-82.45
25673,45620,STANDARD,CHESHIRE,OH,38.94,-82.11
25674,45720,PO BOX,CHESTER,OH,39.08,-81.92
25675,43728,STANDARD,CHESTERHILL,OH,39.48,-81.86
25676,43317,PO BOX,CHESTERVILLE,OH,40.48,-82.68
25677,45601,STANDARD,CHILLICOTHE,OH,39.33,-82.98
25678,45112,PO BOX,CHILO,OH,38.79,-84.13
25679,45389,PO BOX,CHRISTIANSBURG,OH,40.05,-84.02
25680,45389,PO BOX,CHRISTIANSBRG,OH,40.05,-84.02
25681,45389,PO BOX,CHRISTIANSBG,OH,40.05,-84.02
25682,45201,PO BOX,CINCINNATI,OH,39.09,-84.51
25683,45202,STANDARD,CINCINNATI,OH,39.09,-84.51
25684,45203,STANDARD,CINCINNATI,OH,39.09,-84.51
25685,45203,STANDARD,QUEEN CITY,OH,39.09,-84.51
25686,45204,STANDARD,CINCINNATI,OH,39.09,-84.51
25687,45204,STANDARD,QUEEN CITY,OH,39.09,-84.51
25688,45205,STANDARD,CINCINNATI,OH,39.09,-84.51
25689,45205,STANDARD,PRICE HILL,OH,39.09,-84.51
25690,45206,STANDARD,CINCINNATI,OH,39.09,-84.51
25691,45206,STANDARD,WALNUT HILLS,OH,39.09,-84.51
25692,45207,STANDARD,CINCINNATI,OH,39.09,-84.51
25693,45207,STANDARD,EVANSTON,OH,39.09,-84.51
25694,45207,STANDARD,NORWOOD,OH,39.09,-84.51
25695,45208,STANDARD,CINCINNATI,OH,39.09,-84.51
25696,45208,STANDARD,HYDE PARK,OH,39.09,-84.51
25697,45208,STANDARD,MT LOOKOUT,OH,39.09,-84.51
25698,45209,STANDARD,CINCINNATI,OH,39.09,-84.51
25699,45209,STANDARD,OAKLEY,OH,39.09,-84.51
25700,45211,STANDARD,CINCINNATI,OH,39.09,-84.51
25701,45211,STANDARD,CHEVIOT,OH,39.09,-84.51
25702,45211,STANDARD,BRIDGETOWN,OH,39.09,-84.51
25703,45211,STANDARD,FAIRMONT,OH,39.09,-84.51
25704,45211,STANDARD,MACK,OH,39.09,-84.51
